FULLNAME,HEIGHT,OVRL,MIN/GAME,PTS/MIN,GP,GS,TS%,UPTS/MIN,REB/MIN,DREB/MIN,OREB/MIN,AST/MIN,STL/MIN,BLK/MIN,TOV/MIN,PF/MIN,FG_PCT,FGM/MIN,FGA/MIN,FG3_PCT,FG3M/MIN,FG3A/MIN,FT_PCT,FTM/MIN,FTA/MIN,PLAYER_ID
Kevin Durant,2.08,34.61,37.23,0.74,1061,1058,0.61,0.45,0.19,0.17,0.02,0.11,0.03,0.03,0.08,0.05,0.49,0.25,0.51,0.37,0.05,0.14,0.87,0.18,0.21,402284
Bill Walton,2.11,34.51,27.94,0.47,517,117,0.55,0.26,0.37,0.29,0.08,0.12,0.03,0.08,0.06,0.1,0.52,0.19,0.37,0,0,0,0.67,0.08,0.12,156900
David Robinson,2.16,33.91,34.68,0.6,1110,1108,0.58,0.35,0.31,0.22,0.09,0.07,0.04,0.08,0.07,0.08,0.5,0.21,0.41,0.18,0,0,0.72,0.17,0.24,1528
Andre Drummond,2.08,33.58,30.28,0.47,685,618,0.54,0.25,0.45,0.29,0.15,0.05,0.05,0.05,0.07,0.1,0.52,0.2,0.37,0.07,0,0.01,0.44,0.07,0.16,406166
Kevin Love,2.03,33.55,31.37,0.56,823,717,0.57,0.32,0.34,0.26,0.08,0.07,0.02,0.01,0.06,0.07,0.42,0.19,0.42,0.39,0.06,0.15,0.84,0.14,0.16,403134
Shaquille O'Neal,2.16,33.38,35.15,0.68,1423,1411,0.58,0.39,0.31,0.21,0.1,0.07,0.02,0.06,0.08,0.1,0.57,0.27,0.46,0.02,0,0,0.52,0.14,0.27,812
Hakeem Olajuwon,2.13,33.34,36.13,0.61,1383,1326,0.56,0.34,0.31,0.22,0.09,0.07,0.05,0.09,0.08,0.1,0.52,0.25,0.48,0.21,0,0,0.72,0.12,0.17,330
Damian Lillard,1.88,33.31,36.64,0.67,765,765,0.58,0.39,0.11,0.1,0.02,0.18,0.03,0.01,0.08,0.05,0.42,0.22,0.51,0.37,0.08,0.22,0.89,0.15,0.17,406162
Kawhi Leonard,2.01,33.31,32.09,0.61,711,684,0.6,0.37,0.21,0.17,0.04,0.09,0.05,0.02,0.05,0.06,0.5,0.22,0.44,0.39,0.05,0.12,0.85,0.12,0.15,405390
Jerry Lucas,2.03,33.1,38.29,0.43,901,0,0.54,0.23,0.4,0.01,0,0.09,0,0,0,0.07,0.48,0.18,0.35,0,0,0,0.78,0.08,0.1,154836
Clint Capela,2.08,33.1,26.36,0.45,503,421,0.62,0.28,0.39,0.26,0.13,0.04,0.03,0.06,0.04,0.09,0.61,0.2,0.32,0,0,0,0.51,0.06,0.12,407982
Christian Wood,2.06,33,22.15,0.59,181,82,0.6,0.36,0.31,0.24,0.07,0.05,0.02,0.04,0.06,0.07,0.52,0.22,0.43,0.36,0.05,0.13,0.67,0.11,0.16,1626174
Robert Williams III,2.06,32.97,15.92,0.37,153,37,0.72,0.27,0.33,0.21,0.12,0.07,0.04,0.09,0.05,0.1,0.71,0.17,0.23,0,0,0,0.57,0.04,0.07,3258114
Moses Malone,2.08,32.92,34.35,0.6,1423,1246,0.57,0.34,0.36,0.21,0.15,0.04,0.02,0.04,0.08,0.07,0.48,0.21,0.43,0,0,0,0.77,0.19,0.24,154898
Bob Lanier,2.11,32.78,33.51,0.6,1026,210,0.56,0.33,0.3,0.15,0.06,0.09,0.02,0.03,0.04,0.1,0.52,0.24,0.47,0,0,0,0.77,0.11,0.15,1200010
Tim Duncan,2.11,32.74,34.53,0.56,1643,1640,0.55,0.31,0.32,0.23,0.08,0.09,0.02,0.06,0.07,0.07,0.5,0.22,0.43,0.16,0,0,0.69,0.13,0.18,2990
Bob McAdoo,2.06,32.73,32.75,0.66,946,1,0.55,0.36,0.28,0.19,0.06,0.07,0.03,0.04,0.04,0.1,0.5,0.26,0.52,0,0,0,0.74,0.14,0.18,154996
DeMarcus Cousins,2.08,32.72,30.36,0.66,628,559,0.54,0.35,0.34,0.25,0.09,0.1,0.04,0.04,0.11,0.12,0.44,0.23,0.51,0.33,0.02,0.06,0.71,0.17,0.23,404652
Billy Cunningham,1.98,32.63,34.09,0.61,693,0,0.5,0.31,0.3,0.03,0.01,0.12,0,0,0,0.11,0.44,0.23,0.51,0,0,0,0.7,0.15,0.21,152974
Karl Malone,2.06,32.62,37.6,0.66,1669,1664,0.57,0.38,0.27,0.21,0.06,0.09,0.04,0.02,0.08,0.08,0.49,0.24,0.48,0.22,0,0.01,0.74,0.18,0.24,504
Nikola Vucevic,2.08,32.46,30.69,0.55,699,637,0.54,0.3,0.34,0.25,0.08,0.09,0.03,0.03,0.06,0.08,0.47,0.24,0.48,0.36,0.02,0.07,0.78,0.05,0.07,405392
Kyrie Irving,1.88,32.2,34.14,0.67,652,652,0.57,0.39,0.11,0.09,0.02,0.17,0.04,0.01,0.08,0.07,0.46,0.25,0.53,0.39,0.06,0.16,0.88,0.11,0.13,405362
Ja Morant,1.91,32.18,32.14,0.61,154,154,0.55,0.33,0.13,0.1,0.03,0.23,0.03,0.01,0.1,0.05,0.48,0.22,0.48,0.32,0.04,0.11,0.76,0.13,0.17,3259260
Kevin Johnson,1.85,32.12,34.45,0.52,840,716,0.58,0.3,0.1,0.08,0.02,0.26,0.04,0.01,0.09,0.06,0.48,0.18,0.37,0.27,0.01,0.02,0.84,0.16,0.19,268
