FULLNAME,HEIGHT,MIN/GAME,PTS/MIN,GP,GS,REB/MIN,DREB/MIN,OREB/MIN,AST/MIN,STL/MIN,BLK/MIN,TOV/MIN,PF/MIN,FG_PCT,FGM/MIN,FGA/MIN,FG3_PCT,FG3M/MIN,FG3A/MIN,FT_PCT,FTM/MIN,FTA/MIN,PLAYER_ID
Pete Maravich,1.96,36.65,0.33,684,0,0.06,0.03,0.01,0.07,0.01,0,0.04,0.15,0.22,0.13,0.58,0,0,0,0.41,0.07,0.18,154918
Bernard King,2.01,33.57,0.33,902,820,0.09,0.06,0.03,0.05,0.01,0,0.19,0.2,0.27,0.13,0.51,0,0,0,0.36,0.07,0.19,154528
Alex English,2.03,31.92,0.33,1261,1011,0.08,0.05,0.04,0.06,0.01,0.01,0.15,0.16,0.25,0.14,0.56,0,0,0,0.42,0.06,0.14,153346
Mark Aguirre,1.98,29.94,0.33,1025,705,0.08,0.05,0.03,0.05,0.01,0.01,0.16,0.19,0.24,0.13,0.53,0.16,0.01,0.05,0.37,0.07,0.17,152032
Flynn Robinson,1.85,23.41,0.33,521,0,0.06,0,0,0.07,0,0,0,0.2,0.23,0.13,0.52,0,0,0,0.44,0.07,0.16,155976
Dwyane Wade,1.93,34.51,0.33,1231,1081,0.07,0.05,0.02,0.08,0.02,0.01,0.18,0.13,0.25,0.12,0.49,0.16,0.01,0.05,0.4,0.08,0.2,5096
Sam Jones,1.93,28.23,0.33,1025,0,0.09,0,0,0.05,0,0,0,0.14,0.23,0.13,0.56,0,0,0,0.42,0.06,0.15,154392
Collin Sexton,1.85,32.93,0.33,218,208,0.05,0.04,0.01,0.05,0.01,0,0.14,0.13,0.25,0.12,0.49,0.2,0.02,0.12,0.45,0.06,0.13,1629012
Bob Pettit,2.06,38.9,0.33,880,0,0.2,0,0,0.04,0,0,0,0.17,0.21,0.12,0.55,0,0,0,0.37,0.1,0.26,155694
Bradley Beal,1.93,35.07,0.33,675,641,0.06,0.05,0.01,0.06,0.02,0.01,0.13,0.12,0.23,0.12,0.5,0.19,0.03,0.17,0.43,0.06,0.13,406156
Carmelo Anthony,2.01,35.01,0.32,1302,1197,0.09,0.07,0.02,0.04,0.01,0.01,0.14,0.16,0.21,0.12,0.52,0.17,0.02,0.11,0.41,0.07,0.18,5092
Karl Malone,2.06,37.6,0.32,1669,1664,0.13,0.1,0.03,0.05,0.02,0.01,0.17,0.17,0.24,0.12,0.48,0.11,0,0.01,0.36,0.09,0.24,504
Kiki Vandeweghe,2.03,29.75,0.32,878,612,0.06,0.04,0.02,0.03,0.01,0.01,0.11,0.13,0.25,0.12,0.48,0.18,0,0.02,0.44,0.07,0.16,156808
Bob McAdoo,2.06,32.75,0.32,946,1,0.14,0.09,0.03,0.03,0.01,0.02,0.09,0.2,0.24,0.13,0.52,0,0,0,0.36,0.07,0.18,154996
Dan Issel,2.06,30.79,0.32,771,256,0.12,0.09,0.04,0.04,0.02,0.01,0.12,0.19,0.24,0.12,0.49,0,0,0,0.39,0.08,0.21,154194
Cliff Hagan,1.93,29.58,0.32,835,0,0.12,0,0,0.05,0,0,0,0.21,0.23,0.12,0.53,0,0,0,0.41,0.07,0.17,153824
Quintin Dailey,1.91,23.12,0.32,532,140,0.06,0.04,0.02,0.05,0.02,0,0.16,0.19,0.23,0.13,0.53,0.08,0,0.01,0.39,0.07,0.17,152994
Kemba Walker,1.83,33.59,0.32,753,708,0.06,0.05,0.01,0.09,0.02,0.01,0.12,0.08,0.23,0.11,0.48,0.19,0.04,0.19,0.47,0.06,0.14,405378
