FULLNAME,HEIGHT,OVRL,MIN/GAME,PTS/MIN,GP,GS,TS%,UPTS/MIN,REB/MIN,DREB/MIN,OREB/MIN,AST/MIN,STL/MIN,BLK/MIN,TOV/MIN,PF/MIN,FG_PCT,FGM/MIN,FGA/MIN,FG3_PCT,FG3M/MIN,FG3A/MIN,FT_PCT,FTM/MIN,FTA/MIN,PLAYER_ID
Bob Lanier,2.11,69.16,33.51,0.6,1026,210,0.56,0.33,0.3,0.15,0.06,0.09,0.02,0.03,0.04,0.1,0.52,0.24,0.47,0,0,0,0.77,0.11,0.15,1200010
Tim Duncan,2.11,69.08,34.53,0.56,1643,1640,0.55,0.31,0.32,0.23,0.08,0.09,0.02,0.06,0.07,0.07,0.5,0.22,0.43,0.16,0,0,0.69,0.13,0.18,2990
Clint Capela,2.08,68.84,26.36,0.45,503,421,0.62,0.28,0.39,0.26,0.13,0.04,0.03,0.06,0.04,0.09,0.61,0.2,0.32,0,0,0,0.51,0.06,0.12,407982
Moses Malone,2.08,68.48,34.35,0.6,1423,1246,0.57,0.34,0.36,0.21,0.15,0.04,0.02,0.04,0.08,0.07,0.48,0.21,0.43,0,0,0,0.77,0.19,0.24,154898
Rudy Gobert,2.16,68.44,30.02,0.41,614,522,0.67,0.27,0.38,0.27,0.11,0.04,0.02,0.07,0.05,0.09,0.66,0.15,0.23,0,0,0,0.61,0.11,0.17,406994
Kevin Love,2.03,68.11,31.37,0.56,823,717,0.57,0.32,0.34,0.26,0.08,0.07,0.02,0.01,0.06,0.07,0.42,0.19,0.42,0.39,0.06,0.15,0.84,0.14,0.16,403134
DeMarcus Cousins,2.08,68.06,30.36,0.66,628,559,0.54,0.35,0.34,0.25,0.09,0.1,0.04,0.04,0.11,0.12,0.44,0.23,0.51,0.33,0.02,0.06,0.71,0.17,0.23,404652
Christian Wood,2.06,67.97,22.15,0.59,181,82,0.6,0.36,0.31,0.24,0.07,0.05,0.02,0.04,0.06,0.07,0.52,0.22,0.43,0.36,0.05,0.13,0.67,0.11,0.16,1626174
Robert Williams III,2.06,67.92,15.92,0.37,153,37,0.72,0.27,0.33,0.21,0.12,0.07,0.04,0.09,0.05,0.1,0.71,0.17,0.23,0,0,0,0.57,0.04,0.07,3258114
Nikola Vucevic,2.08,67.52,30.69,0.55,699,637,0.54,0.3,0.34,0.25,0.08,0.09,0.03,0.03,0.06,0.08,0.47,0.24,0.48,0.36,0.02,0.07,0.78,0.05,0.07,405392
