FULLNAME,HEIGHT,OVRL,MIN/GAME,PTS/MIN,GP,GS,TS%,UPTS/MIN,REB/MIN,DREB/MIN,OREB/MIN,AST/MIN,STL/MIN,BLK/MIN,TOV/MIN,PF/MIN,FG_PCT,FGM/MIN,FGA/MIN,FG3_PCT,FG3M/MIN,FG3A/MIN,FT_PCT,FTM/MIN,FTA/MIN,PLAYER_ID
Elgin Baylor,1.96,73.56,40.18,0.68,980,0,0.49,0.34,0.33,0,0,0.11,0,0,0,0.08,0.44,0.26,0.59,0,0,0,0.78,0.17,0.22,152254
Stephen Curry,1.88,73.33,34.75,0.71,901,893,0.62,0.44,0.14,0.12,0.02,0.19,0.05,0.01,0.09,0.07,0.46,0.24,0.51,0.42,0.11,0.26,0.91,0.11,0.13,403878
Michael Jordan,1.98,71.74,38.75,0.79,1251,1218,0.57,0.45,0.16,0.12,0.04,0.14,0.06,0.02,0.07,0.07,0.49,0.3,0.6,0.33,0.02,0.05,0.83,0.18,0.22,1786
Shaquille O'Neal,2.16,71.52,35.15,0.68,1423,1411,0.58,0.39,0.31,0.21,0.1,0.07,0.02,0.06,0.08,0.1,0.57,0.27,0.46,0.02,0,0,0.52,0.14,0.27,812
Oscar Robertson,1.96,70.82,42.24,0.6,1126,0,0.56,0.34,0.18,0.01,0,0.22,0,0,0,0.07,0.47,0.21,0.44,0,0,0,0.85,0.17,0.21,1200030
Kevin Love,2.03,70.67,31.37,0.56,823,717,0.57,0.32,0.34,0.26,0.08,0.07,0.02,0.01,0.06,0.07,0.42,0.19,0.42,0.39,0.06,0.15,0.84,0.14,0.16,403134
Maurice Stokes,2.01,70.58,37.35,0.44,203,0,0.41,0.18,0.46,0,0,0.14,0,0,0,0.1,0.3,0.17,0.47,0,0,0,0.78,0.11,0.15,1200032
DeMarcus Cousins,2.08,70.56,30.36,0.66,628,559,0.54,0.35,0.34,0.25,0.09,0.1,0.04,0.04,0.11,0.12,0.44,0.23,0.51,0.33,0.02,0.06,0.71,0.17,0.23,404652
Moses Malone,2.08,70.49,34.35,0.6,1423,1246,0.57,0.34,0.36,0.21,0.15,0.04,0.02,0.04,0.08,0.07,0.48,0.21,0.43,0,0,0,0.77,0.19,0.24,154898
Karl Malone,2.06,69.47,37.6,0.66,1669,1664,0.57,0.38,0.27,0.21,0.06,0.09,0.04,0.02,0.08,0.08,0.49,0.24,0.48,0.22,0,0.01,0.74,0.18,0.24,504
Hassan Whiteside,2.13,69.09,25.16,0.51,490,342,0.6,0.3,0.44,0.31,0.12,0.03,0.02,0.09,0.06,0.11,0.6,0.21,0.36,0.65,0,0,0.59,0.08,0.14,404710
Ja Morant,1.91,67.97,32.14,0.61,154,154,0.55,0.33,0.13,0.1,0.03,0.23,0.03,0.01,0.1,0.05,0.48,0.22,0.48,0.32,0.04,0.11,0.76,0.13,0.17,3259260
Bill Walton,2.11,67.89,27.94,0.47,517,117,0.55,0.26,0.37,0.29,0.08,0.12,0.03,0.08,0.06,0.1,0.52,0.19,0.37,0,0,0,0.67,0.08,0.12,156900
Ben Simmons,2.11,67.81,34.04,0.46,309,309,0.58,0.27,0.24,0.18,0.06,0.23,0.05,0.02,0.1,0.09,0.57,0.19,0.34,0.07,0,0,0.56,0.09,0.14,3255464
Christian Wood,2.06,67.44,22.15,0.59,181,82,0.6,0.36,0.31,0.24,0.07,0.05,0.02,0.04,0.06,0.07,0.52,0.22,0.43,0.36,0.05,0.13,0.67,0.11,0.16,1626174
Tim Duncan,2.11,67.26,34.53,0.56,1643,1640,0.55,0.31,0.32,0.23,0.08,0.09,0.02,0.06,0.07,0.07,0.5,0.22,0.43,0.16,0,0,0.69,0.13,0.18,2990
Nikola Vucevic,2.08,67.24,30.69,0.55,699,637,0.54,0.3,0.34,0.25,0.08,0.09,0.03,0.03,0.06,0.08,0.47,0.24,0.48,0.36,0.02,0.07,0.78,0.05,0.07,405392
Chris Paul,1.83,67.14,34.82,0.53,1246,1246,0.58,0.31,0.13,0.11,0.02,0.27,0.06,0,0.07,0.07,0.48,0.19,0.4,0.37,0.04,0.11,0.86,0.12,0.13,202216
David Robinson,2.16,67.13,34.68,0.6,1110,1108,0.58,0.35,0.31,0.22,0.09,0.07,0.04,0.08,0.07,0.08,0.5,0.21,0.41,0.18,0,0,0.72,0.17,0.24,1528
Jerry Lucas,2.03,67.03,38.29,0.43,901,0,0.54,0.23,0.4,0.01,0,0.09,0,0,0,0.07,0.48,0.18,0.35,0,0,0,0.78,0.08,0.1,154836
Damian Lillard,1.88,66.89,36.64,0.67,765,765,0.58,0.39,0.11,0.1,0.02,0.18,0.03,0.01,0.08,0.05,0.42,0.22,0.51,0.37,0.08,0.22,0.89,0.15,0.17,406162
Andre Drummond,2.08,66.62,30.28,0.47,685,618,0.54,0.25,0.45,0.29,0.15,0.05,0.05,0.05,0.07,0.1,0.52,0.2,0.37,0.07,0,0.01,0.44,0.07,0.16,406166
Bob Lanier,2.11,66.51,33.51,0.6,1026,210,0.56,0.33,0.3,0.15,0.06,0.09,0.02,0.03,0.04,0.1,0.52,0.24,0.47,0,0,0,0.77,0.11,0.15,1200010
Walt Bellamy,2.08,66.5,37.54,0.53,1089,0,0.55,0.29,0.37,0.01,0.01,0.07,0,0,0,0.09,0.49,0.2,0.39,0,0,0,0.64,0.13,0.21,152288
Jerry West,1.91,66.02,39.53,0.69,1085,0,0.55,0.38,0.15,0,0,0.17,0,0,0,0.07,0.47,0.25,0.52,0,0,0,0.81,0.2,0.24,156994
Dan Issel,2.06,65.78,30.79,0.66,771,256,0.57,0.38,0.26,0.18,0.08,0.08,0.03,0.02,0.06,0.09,0.5,0.25,0.49,0,0,0,0.81,0.17,0.21,154194
Blake Griffin,2.06,65.7,33.82,0.6,753,734,0.56,0.34,0.25,0.19,0.06,0.12,0.03,0.02,0.07,0.08,0.49,0.23,0.46,0.35,0.02,0.06,0.71,0.13,0.19,403866
Willy Hernangomez,2.11,65.61,15.01,0.48,271,38,0.59,0.28,0.38,0.25,0.13,0.07,0.03,0.03,0.07,0.11,0.54,0.19,0.35,0.32,0.01,0.02,0.68,0.09,0.13,1626195
Julius Randle,2.03,65.53,30.84,0.57,479,399,0.56,0.32,0.3,0.24,0.07,0.11,0.02,0.01,0.09,0.1,0.39,0.21,0.44,0.34,0.03,0.08,0.8,0.12,0.16,407888
Domantas Sabonis,2.11,65.26,27.69,0.5,396,243,0.59,0.29,0.32,0.24,0.08,0.12,0.03,0.02,0.08,0.11,0.52,0.2,0.37,0.24,0.02,0.05,0.74,0.09,0.13,3255468
Hakeem Olajuwon,2.13,65.15,36.13,0.61,1383,1326,0.56,0.34,0.31,0.22,0.09,0.07,0.05,0.09,0.08,0.1,0.52,0.25,0.48,0.21,0,0,0.72,0.12,0.17,330
